,name,DepositsAndShort-termFinancing,CAR,InterestIncome,NIM
275,SURGUTNEFTEGASBANK JSC 2016,1889488.0,13.2,170808.0,3.88
276,METALLINVESTBANK 2012,1730233.0,15.8,139450.0,3.58
279,DEUTSCHE BANK LLC 2014,1546983.0,18.5,35978.0,-0.7
280,CREDIT EUROPE BANK LTD 2018,1561473.0,14.94,226808.0,8.53
281,"OPEN JOINT STOCK COMPANY JOINT STOCK COMMERCIAL BANK ""INTERNATIONAL FINANCIAL CLUB 2019",1687801.0,18.01,104042.0,1.94
282,OPEN JOINT-STOCK COMPANY 'ROSGOSSTRAKH BANK' 2014,1484237.0,23.89,212522.0,5.88
283,OTP BANK JSC 2018,1431399.0,15.11,274986.0,12.44
284,OTP BANK JSC 2016,1414675.0,15.53,373769.0,15.73
285,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2016,1602760.0,9.71,279667.0,7.14
286,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2015,1633239.0,11.45,246880.0,6.18
287,SKB-BANK 2014,1724753.0,13.39,355714.0,12.45
288,JOINT STOCK BANK AVANGARD 2019,1345229.0,17.78,119328.0,6.05
290,"OPEN JOINT STOCK COMPANY JOINT STOCK COMMERCIAL BANK ""INTERNATIONAL FINANCIAL CLUB 2017",1686741.0,14.79,136518.0,1.41
291,DEUTSCHE BANK LLC 2019,1611635.0,26.81,56316.0,2.87
292,OPEN JOINT-STOCK COMPANY 'ROSGOSSTRAKH BANK' 2017,1509207.0,28.98,218320.0,3.76
293,ING BANK (EURASIA) ZAO 2020,1048895.0,23.65,117194.0,2.42
294,OTP BANK JSC 2020,1277508.0,13.76,249324.0,11.17
295,PJSC POST BANK 2016,1483805.0,19.93,283628.0,14.33
296,CB RENAISSANCE CREDIT OOO 2020,1320729.0,13.5,396075.0,16.48
297,CREDIT EUROPE BANK LTD 2017,1275690.0,19.0,230742.0,7.57
298,WEST SIBERIAN COMMERCIAL BANK PJSC 2018,1562709.0,14.79,167397.0,5.56
299,CLOSED JOINT STOCK COMPANY LOCKO-BANK 2019,1504013.0,20.9,168450.0,6.18
300,"OPEN JOINT STOCK COMPANY JOINT STOCK COMMERCIAL BANK ""INTERNATIONAL FINANCIAL CLUB 2018",1590752.0,15.29,238133.0,9.32
302,OPEN JOINT-STOCK COMPANY 'ROSGOSSTRAKH BANK' 2015,1419236.0,16.59,160468.0,2.02
303,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2020,1527429.0,12.13,147655.0,7.74
304,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2017,1465705.0,10.67,221205.0,6.97
305,JOINT STOCK BANK AVANGARD 2018,1359618.0,18.68,107859.0,6.27
307,EXIMBANK OF RUSSIA ZAO 2018,1194543.0,23.0,135335.0,5.79
308,OTP BANK JSC 2015,1263704.0,13.26,387130.0,14.77
309,CREDIT EUROPE BANK LTD 2015,1086223.0,18.4,261398.0,6.37
310,"CJSC ""RN BANK 2019",909458.0,15.4,205059.0,5.96
311,SKB-BANK 2015,1521137.0,13.31,239181.0,6.65
312,CENTROCREDIT BANK ZAO 2019,1022676.0,27.1,114521.0,3.45
313,CREDIT EUROPE BANK LTD 2016,1244931.0,19.25,235066.0,5.85
314,CENTROCREDIT BANK ZAO 2014,1146128.0,19.7,117062.0,4.1
315,CREDIT EUROPE BANK LTD 2020,1247133.0,16.52,180623.0,6.82
316,BANK SOYUZ 2019,1331008.0,13.48,150277.0,5.14
317,"OPEN JOINT STOCK COMPANY JOINT STOCK COMMERCIAL BANK ""INTERNATIONAL FINANCIAL CLUB 2016",1522537.0,16.14,164551.0,1.32
318,EVROFINANCE MOSNARBANK OAO 2013,1214127.0,34.82,78426.0,3.39
322,METALLINVESTBANK 2020,1307419.0,12.8,116581.0,4.77
323,"PUBLIC JOINT-STOCK COMPANY COMMERCIAL BANK ""CENTER-INVEST 2020",1353303.0,13.1,134312.0,5.86
