,name,DepositsAndShort-termFinancing,CAR,InterestIncome,NIM
1397,OJSC CB SOKOLOVSKY 2014,17398.0,25.0,3430.0,14.2
1398,COMMERCIAL BANK AGORA 2018,16893.0,43.9,1675.0,11.11
1399,PERVIY DORTRANSBANK 2014,15992.0,25.05,2055.0,6.93
1400,NOVOKIB LLC 2020,15130.0,40.32,1801.0,11.75
1401,NALCHIK BANK 2018,13231.0,43.9,1943.0,15.66
1405,"JSC ""PROBANK 2016",11440.0,35.89,5034.0,14.27
1410,PRIMORSKY TERRITORIAL COMMERCIAL BANK 2019,16783.0,22.36,1636.0,10.32
1411,VIKING BANK 2020,9653.0,34.14,1812.0,10.08
1414,CJSC POCHTOBANK 2018,14054.0,28.4,2019.0,8.64
1416,"BANK IDM"" (PJSC) 2020",11302.0,47.15,1599.0,10.02
1417,PERVIY DORTRANSBANK 2015,15520.0,25.78,2356.0,7.99
1421,OPEN JOINT-STOCK COMMERCIAL BANK 'KHIMIK' 2016,13419.0,33.5,2290.0,10.12
1424,KURGAN BANK 2019,11438.0,42.01,2036.0,11.78
1426,PRIMORSKY TERRITORIAL COMMERCIAL BANK 2020,11115.0,33.94,1560.0,8.82
1429,SARATOV OOO 2015,9810.0,36.0,2317.0,7.05
1430,MTI-BANK ZAO 2019,12068.0,34.15,2098.0,22.32
1432,OPEN JOINT-STOCK COMMERCIAL BANK 'KHIMIK' 2017,12402.0,34.5,1997.0,10.88
1433,JOINT STOCK COMMERCIAL BANK SERVICE-RESERVE BANK 2015,13496.0,32.2,1157.0,9.57
1434,PROMSELHOZBANK OJSC 2020,10215.0,18.17,1328.0,6.18
1435,PRIMORSKY TERRITORIAL COMMERCIAL BANK 2018,14741.0,29.47,1509.0,15.06
1438,SUMMIT BANK 2019,14082.0,33.1,1821.0,6.25
1441,KURGAN BANK 2020,10491.0,46.43,1434.0,10.53
1442,CB 'BAIKALCREDOBANK' JSC 2019,12113.0,38.3,1747.0,9.18
1443,OJSC CB SOKOLOVSKY 2015,13432.0,25.29,2549.0,14.92
1444,SUMMIT BANK 2018,13064.0,36.4,1738.0,8.07
1448,SUMMIT BANK 2020,12110.0,37.3,1433.0,5.96
1450,EATP BANK 2019,9681.0,26.7,2309.0,14.42
1452,CB 'BAIKALCREDOBANK' JSC 2020,10732.0,37.2,1248.0,7.08
1454,CJSC POCHTOBANK 2020,9115.0,36.6,1306.0,7.9
1455,EATP BANK 2018,9244.0,28.6,2256.0,14.2
1456,OPEN JOINT-STOCK COMMERCIAL BANK 'KHIMIK' 2018,10762.0,37.7,1326.0,10.58
1457,COMMERCIAL BANK OF DEVELOPMENT OF SPECIAL CONSTRUCTION 'SPETSSTROYBANK' 2019,5976.0,46.31,1994.0,15.03
1458,CB 'BAIKALCREDOBANK' JSC 2018,9501.0,41.4,1545.0,7.3
1459,COMMERCIAL BANK SLAVYANBANK 2016,8335.0,47.2,1279.0,16.59
1461,EATP BANK 2020,8856.0,26.6,1799.0,13.54
1463,COMMERCIAL BANK SLAVYANBANK 2014,7622.0,38.2,1015.0,10.37
1464,OPEN JOINT-STOCK COMMERCIAL BANK 'KHIMIK' 2019,9305.0,44.8,1258.0,11.92
1465,MTI-BANK ZAO 2018,8110.0,37.7,1563.0,21.97
1466,OPEN JOINT-STOCK COMMERCIAL BANK 'KHIMIK' 2020,9695.0,46.1,726.0,7.62
1468,OJSC CB SOKOLOVSKY 2020,7419.0,49.86,1332.0,14.6
1470,OBYEDINENNY BANK RESPUBLIKI OOO 2018,8328.0,49.14,1173.0,14.37
1473,ECO-INVEST LLC 2020,9470.0,45.5,290.0,2.78
1475,OJSC CB SOKOLOVSKY 2019,5568.0,48.87,1754.0,16.2
1476,OBYEDINENNY BANK RESPUBLIKI OOO 2019,7468.0,46.5,1136.0,11.22
1477,BANK STANDARD-CREDIT 2017,6362.0,44.2,1329.0,14.31
1478,CLASSIC ECONOM BANK CJSC 2018,6457.0,47.3,1835.0,22.52
1481,BANK STANDARD-CREDIT 2019,8289.0,41.83,1162.0,12.84
1482,CLASSIC ECONOM BANK CJSC 2020,3983.0,42.6,2000.0,18.57
1483,COMMERCIAL BANK SLAVYANBANK 2015,6916.0,39.2,1147.0,15.06
1486,OJSC CB SOKOLOVSKY 2018,4909.0,47.0,1549.0,15.45
1488,OBYEDINENNY BANK RESPUBLIKI OOO 2020,6493.0,48.19,775.0,8.98
1489,BANK STANDARD-CREDIT 2015,6484.0,47.58,1229.0,10.1
1491,COMMERCIAL BANK OF DEVELOPMENT OF SPECIAL CONSTRUCTION 'SPETSSTROYBANK' 2020,3682.0,47.43,1146.0,14.38
1493,BANK STANDARD-CREDIT 2020,6355.0,40.92,841.0,10.16
1494,BANK STANDARD-CREDIT 2018,4353.0,40.6,950.0,10.93
1496,NATIONAL SAVINGS BANK 2016,2189.0,8.0,614.0,10.57
1497,"JSC RNCO ""KHOLMSK 2020",5756.0,37.43,129.0,0.93
